customer_id,name,email,phone,gender,signup_date
1,Mary Allen,dennis06@flores.net,+1-682-689-6239x1647,Male,2023-01-26
2,Jeff Howard,dchan@clark.com,(988)812-6997,Male,2023-08-13
3,Edward Gonzales,aaron46@fuller-wolfe.biz,760-170-4527x104,Male,2024-10-14
4,Amanda Waters,johnathanswanson@gmail.com,829.334.3367,Male,2023-03-14
5,Amy Patel,helenjohnson@yahoo.com,(258)361-6042x37449,Male,2024-07-09
6,David Newton,njordan@yahoo.com,254-061-7165x1164,Female,2025-06-27
7,Isaiah Pierce,eric88@yahoo.com,(630)348-8697,Male,2023-06-17
8,Alicia Lester,diana21@gmail.com,887-627-5685x856,Male,2023-12-25
9,Brandy Caldwell,ndeleon@hotmail.com,+1-736-030-9492x18901,Female,2025-08-05
10,Julie Berger,stonedonna@gmail.com,4722265818,Male,2025-07-26
11,Angela Fowler,kimberlythomas@hotmail.com,(124)922-9038x2842,Male,2023-09-15
12,David Campbell,thompsonkristin@yahoo.com,339.767.2034,Female,2024-06-20
13,Joe Vargas,erose@romero.com,3975567394,Male,2025-08-16
14,Jorge Schultz,newmanmaria@gmail.com,3004893242,Female,2025-06-22
15,Jason Lane,hugheskeith@yahoo.com,534.723.0927x0657,Female,2025-06-16
16,Dustin Jackson,rford@williams.com,(834)294-7077x1141,Female,2025-05-22
17,Tina Vincent,qpeck@yahoo.com,+1-446-354-7766x51019,Male,2023-03-16
18,Alexander Hull,williamsaaron@yahoo.com,343-807-4465x754,Male,2025-04-05
19,James Barton,melissacook@harrison-fisher.com,7987909368,Female,2025-02-04
20,Jean Wilson,heathshelby@hotmail.com,+1-675-708-5259,Male,2025-08-16
21,Richard Tyler,ann50@mason.com,(913)400-3688x3438,Female,2023-04-05
22,Jason Swanson,donald23@hayes.com,296-757-4734x614,Male,2022-10-05
23,Travis Herrera,ihorton@moore-butler.com,4667440613,Male,2025-01-17
24,Elizabeth Parker,jasonjones@hotmail.com,+1-967-607-0757x748,Female,2025-05-05
25,Michael Parker,fmaddox@yahoo.com,375-205-6501x48398,Male,2023-01-19
26,Paige Ingram,joseph73@brown-mcdonald.info,001-361-441-2654x846,Female,2023-12-15
27,Robert Diaz,roger29@lane.info,+1-928-414-3581x3330,Male,2023-04-15
28,Mark Adkins,tylerkeller@bates.com,365.761.1789x4451,Male,2022-12-28
29,Paul Gonzales,michelle36@curtis.com,771-787-3276,Male,2023-08-27
30,Denise Perez,cblair@hotmail.com,(359)373-8452,Male,2024-09-06
31,Amanda Thompson,cooperjason@tucker.com,+1-830-598-5560x534,Female,2024-03-18
32,Derek Poole,elizabethtaylor@gmail.com,(234)362-1532,Male,2025-04-13
33,Jeremiah Hodges,kfranklin@reynolds-pineda.com,+1-171-303-9946x497,Female,2024-01-18
34,Travis Weber,adrian54@yahoo.com,158.198.3967x7851,Male,2025-07-12
35,Leslie Smith,dwillis@yahoo.com,787.363.0777x3600,Male,2025-09-01
