driver_id,name,phone,license_no,rating
1,Rachel Haney,875.098.6792,LIC-0001,3.18
2,Tony Wang,001-060-042-4006x78535,LIC-0002,3.59
3,Taylor Miller,3866132005,LIC-0003,3.63
4,Justin Cochran,(111)298-4157x08282,LIC-0004,4.28
5,Virginia Jackson,218.541.5865x71423,LIC-0005,4.99
6,Michelle Hogan,0840340268,LIC-0006,4.21
7,Omar Hernandez,5103792979,LIC-0007,3.63
8,Patrick Johnson,001-676-054-1665,LIC-0008,4.51
9,Dr. Brian Browning MD,137.011.3468,LIC-0009,3.22
10,John Brown,(964)189-9908x63062,LIC-0010,3.2
11,Mitchell Harrison,(846)825-3406x322,LIC-0011,3.02
12,Susan Garcia,+1-028-588-4337x897,LIC-0012,4.76
13,Matthew Adams,863-859-1896,LIC-0013,4.21
14,Tiffany Mccann,129-149-1515x92230,LIC-0014,4.12
15,Mariah Mata,3589476613,LIC-0015,3.51
16,Shawn Potts,+1-821-037-1500,LIC-0016,3.17
17,Tiffany Bruce,001-755-550-1580x934,LIC-0017,3.98
18,Samuel Thompson,102-501-8275x0897,LIC-0018,3.2
19,Gregory Roberts,372.938.3859,LIC-0019,3.42
20,James Nicholson,001-285-141-3128x7695,LIC-0020,2.95
21,Keith Gomez,(850)658-9940x69043,LIC-0021,3.22
22,Michael Murphy,8722941144,LIC-0022,4.57
23,Steven Hernandez,(620)125-1632x004,LIC-0023,4.49
24,Gregory Maynard,(936)035-8699,LIC-0024,3.54
25,Christian Hernandez,+1-677-028-7213x26952,LIC-0025,4.99
26,Matthew Irwin,699-148-3424x830,LIC-0026,2.89
27,Erica David,(653)382-5421x4909,LIC-0027,3.67
28,Derek Reynolds,(926)949-2505,LIC-0028,4.17
29,Eddie Harris,759.622.8954,LIC-0029,4.37
30,Patrick Hardy,001-466-363-7778x3855,LIC-0030,2.68
31,Walter Hess,799-040-6741,LIC-0031,4.84
32,Laura Trujillo,762-159-4496x644,LIC-0032,4.12
33,Kristen Waters,+1-647-635-6210x130,LIC-0033,4.77
34,Sharon Lucas,143.986.8495,LIC-0034,4.71
35,Kimberly Brown,885.066.5400x0280,LIC-0035,2.84
36,Benjamin Wood,(903)292-8257,LIC-0036,3.68
37,Jamie Lozano,(169)023-4304x4412,LIC-0037,4.73
38,Christy Dodson,(344)327-0738,LIC-0038,4.7
39,James Brown,+1-332-703-6189x637,LIC-0039,4.93
40,Sharon Gilbert,4134663034,LIC-0040,4.75
41,Devin Walker,(103)884-5291x416,LIC-0041,3.72
42,Joseph Foster,239-266-5525x40168,LIC-0042,3.49
43,Paul Cochran,(066)457-3103,LIC-0043,4.18
44,James Espinoza,4992616466,LIC-0044,2.73
45,Sean Decker,972.021.5369x687,LIC-0045,3.4
46,Angela Gomez,561-293-8947,LIC-0046,3.98
47,Melissa Bartlett,+1-056-379-6532x644,LIC-0047,3.41
48,Mr. Daniel Mccall,001-168-233-1855,LIC-0048,4.39
49,Isaiah Cummings,(605)207-6890,LIC-0049,3.88
50,Thomas Lyons,+1-763-459-6151x23693,LIC-0050,3.92
51,Jason Craig,(837)397-2585,LIC-0051,4.95
52,William Bean,001-557-900-4062,LIC-0052,3.45
53,Amber Jacobson,420-851-0832,LIC-0053,4.97
54,Duane Cross,001-895-257-2561,LIC-0054,4.01
55,George Frye,218-927-8642,LIC-0055,3.72
56,Matthew Ingram,001-624-145-1039x82327,LIC-0056,2.65
57,Crystal Montgomery,+1-105-389-7701x634,LIC-0057,4.44
58,Kristopher Chavez,910-865-8819x30284,LIC-0058,3.16
59,Jillian Logan,(256)335-5792x31736,LIC-0059,3.91
60,Cory Reyes,547.577.5820,LIC-0060,3.28
61,Audrey Taylor,651.788.7864x3564,LIC-0061,4.02
62,Stefanie Clark,(864)012-5096x2465,LIC-0062,4.98
63,Paul Jackson,705-751-5754x301,LIC-0063,4.82
64,Carmen Brown,001-209-924-2646x3188,LIC-0064,2.6
65,Mr. Todd Thompson,+1-130-152-3028x13652,LIC-0065,4.36
66,Linda Torres,554-591-0088x9820,LIC-0066,2.63
67,Jennifer Howell,898-388-1654x3127,LIC-0067,4.97
68,Andrea Wagner,001-782-912-5398x387,LIC-0068,4.83
69,Brandon Burton,(642)937-6375x6423,LIC-0069,3.61
70,Shirley Baker,001-438-924-7780x380,LIC-0070,4.25
71,Lisa Nelson,442-487-9706x5536,LIC-0071,2.58
72,Derek Boone,(948)874-7449,LIC-0072,4.52
73,Zachary Barnes,109.340.7304x60151,LIC-0073,3.26
74,Dylan Butler,870.098.1097,LIC-0074,4.04
75,Leslie Sims,171.679.6391x0272,LIC-0075,4.49
76,Marie Quinn,001-688-543-5992,LIC-0076,3.55
77,Bruce Simmons,072-624-4656x814,LIC-0077,3.42
78,Megan Delgado,078-199-2130x370,LIC-0078,3.91
79,Paul Burgess,+1-145-646-9456,LIC-0079,2.88
80,Nicole Carlson MD,001-155-709-1212x0079,LIC-0080,4.64
81,Luke Griffin,710-023-6788x42716,LIC-0081,2.74
